2021-02-18 20:37:34:077  Method:scan-1.1.3.301_aar:准备根据aar包中的R.txt去除R.java中的重复资源定义
2021-02-18 20:37:34:676  Method:scan-1.1.3.301_aar:根据aar包中的R.txt去除R.java中的重复资源定义完成
2021-02-18 20:37:37:541  Method:工程文件中已经添加过该JarOrangeSDK_JarGen\HuaweiScan\R_JAVA_HuaweiScan.jar
2021-02-18 20:37:37:542  Method:生成R.jar:任务结束
2021-02-18 20:39:15:245  Method:C:\OrangeFreeSDK\OrangeSDKSmartDeployment\Win32\Debug\OrangeSDKHelper.exe 
2021-02-18 20:39:15:267  Method:生成R.jar:res目录中文件未修改,不需要重新生成!
2021-02-18 20:40:10:724  Method:C:\OrangeFreeSDK\OrangeSDKSmartDeployment\Win32\Debug\OrangeSDKHelper.exe 
2021-02-18 20:40:10:731  Method:存在临时文件C:\OrangeFreeSDK\HuaweiScan\Android\Release\R_JAVA_HuaweiScan-dexed.jar,已删除
2021-02-18 20:40:10:736  Method:ml-computer-camera-inner-1.0.3.340_aar:准备生成R.java
2021-02-18 20:40:10:988  Method:ml-computer-camera-inner-1.0.3.340_aar:准备根据aar包中的R.txt去除R.java中的重复资源定义
2021-02-18 20:40:10:992  Method:ml-computer-camera-inner-1.0.3.340_aar:根据aar包中的R.txt去除R.java中的重复资源定义完成
2021-02-18 20:40:10:992  Method:network-common-4.0.2.300_aar:准备生成R.java
2021-02-18 20:40:11:247  Method:network-common-4.0.2.300_aar:准备根据aar包中的R.txt去除R.java中的重复资源定义
2021-02-18 20:40:11:249  Method:network-common-4.0.2.300_aar:根据aar包中的R.txt去除R.java中的重复资源定义完成
2021-02-18 20:40:11:249  Method:network-grs-4.0.2.300_aar:准备生成R.java
2021-02-18 20:40:11:513  Method:network-grs-4.0.2.300_aar:准备根据aar包中的R.txt去除R.java中的重复资源定义
2021-02-18 20:40:11:514  Method:network-grs-4.0.2.300_aar:根据aar包中的R.txt去除R.java中的重复资源定义完成
2021-02-18 20:40:11:514  Method:scan-1.1.3.301_aar:准备生成R.java
2021-02-18 20:40:11:755  Method:scan-1.1.3.301_aar:准备根据aar包中的R.txt去除R.java中的重复资源定义
2021-02-18 20:40:12:357  Method:scan-1.1.3.301_aar:根据aar包中的R.txt去除R.java中的重复资源定义完成
2021-02-18 20:40:15:513  Method:生成R.jar:任务结束
2021-02-18 21:22:58:378  Method:C:\OrangeFreeSDK\OrangeSDKSmartDeployment\Win32\Debug\OrangeSDKHelper.exe 
2021-02-18 21:22:58:554  Method:生成R.jar:res目录中文件未修改,不需要重新生成!
2021-02-18 21:24:34:104  Method:C:\OrangeFreeSDK\OrangeSDKSmartDeployment\Win32\Debug\OrangeSDKHelper.exe 
2021-02-18 21:24:34:204  Method:生成R.jar:res目录中文件未修改,不需要重新生成!
2021-02-18 21:32:19:030  Method:C:\OrangeFreeSDK\OrangeSDKSmartDeployment\Win32\Debug\OrangeSDKHelper.exe 
2021-02-18 21:32:19:126  Method:生成R.jar:res目录中文件未修改,不需要重新生成!
2021-02-18 21:37:05:832  Method:C:\OrangeFreeSDK\OrangeSDKSmartDeployment\Win32\Debug\OrangeSDKHelper.exe 
2021-02-18 21:37:05:941  Method:存在临时文件C:\OrangeFreeSDK\Android图片视频选择器DVMediaSelector_V1_0_0\Android\Release\R_JAVA_TestDVMediaSelector-dexed.jar,已删除
2021-02-18 21:37:06:051  Method:coordinatorlayout-28.0.0_aar:准备生成R.java
2021-02-18 21:37:06:597  Method:coordinatorlayout-28.0.0_aar:R.java生成失败C:\OrangeFreeSDK\Android图片视频选择器DVMediaSelector_V1_0_0\Support_V4\coordinatorlayout-28.0.0_aar\AndroidManifest.xml
2021-02-18 21:37:26:888  Method:support-compat-28.0.0_aar:准备生成R.java
2021-02-18 21:37:27:427  Method:support-compat-28.0.0_aar:R.java生成失败C:\OrangeFreeSDK\Android图片视频选择器DVMediaSelector_V1_0_0\Support_V4\support-compat-28.0.0_aar\AndroidManifest.xml
2021-02-18 21:37:34:770  Method:support-media-compat-28.0.0_aar:准备生成R.java
2021-02-18 21:37:35:384  Method:support-media-compat-28.0.0_aar:R.java生成失败C:\OrangeFreeSDK\Android图片视频选择器DVMediaSelector_V1_0_0\Support_V4\support-media-compat-28.0.0_aar\AndroidManifest.xml
2021-02-18 21:37:44:742  Method:appcompat-v7-28.0.0_aar:准备生成R.java
2021-02-18 21:37:45:367  Method:appcompat-v7-28.0.0_aar:R.java生成失败C:\OrangeFreeSDK\Android图片视频选择器DVMediaSelector_V1_0_0\Compat_V7\appcompat-v7-28.0.0_aar\AndroidManifest.xml
2021-02-18 21:37:46:192  Method:recyclerview-v7-28.0.0_aar:准备生成R.java
2021-02-18 21:37:46:786  Method:recyclerview-v7-28.0.0_aar:R.java生成失败C:\OrangeFreeSDK\Android图片视频选择器DVMediaSelector_V1_0_0\Compat_V7\recyclerview-v7-28.0.0_aar\AndroidManifest.xml
2021-02-18 21:37:47:340  Method:qrcodecore:准备生成R.java
2021-02-18 21:37:48:043  Method:qrcodecore:R.java生成失败C:\OrangeFreeSDK\Android图片视频选择器DVMediaSelector_V1_0_0\BGAQRCodeSDK\qrcodecore\AndroidManifest.xml
2021-02-18 21:37:48:557  Method:zbar:准备生成R.java
2021-02-18 21:37:49:220  Method:zbar:R.java生成失败C:\OrangeFreeSDK\Android图片视频选择器DVMediaSelector_V1_0_0\BGAQRCodeSDK\zbar\AndroidManifest.xml
2021-02-18 21:37:49:801  Method:mediaselector-release_aar:准备生成R.java
2021-02-18 21:37:50:355  Method:mediaselector-release_aar:R.java生成失败C:\OrangeFreeSDK\Android图片视频选择器DVMediaSelector_V1_0_0\DVMediaSelectorSDK_V1_0_0\mediaselector-release_aar\AndroidManifest.xml
2021-02-18 21:37:54:164  Method:工程文件中已经添加过该JarOrangeSDK_JarGen\TestDVMediaSelector\R_JAVA_TestDVMediaSelector.jar
2021-02-18 21:37:54:164  Method:生成R.jar:任务结束
2021-02-18 21:39:01:747  Method:C:\OrangeFreeSDK\OrangeSDKSmartDeployment\Win32\Debug\OrangeSDKHelper.exe 
2021-02-18 21:39:01:841  Method:存在临时文件C:\OrangeFreeSDK\Android图片视频选择器DVMediaSelector_V1_0_0\Android\Release\R_JAVA_TestDVMediaSelector-dexed.jar,已删除
2021-02-18 21:39:01:857  Method:coordinatorlayout-28.0.0_aar:准备生成R.java
2021-02-18 21:39:02:779  Method:coordinatorlayout-28.0.0_aar:准备根据aar包中的R.txt去除R.java中的重复资源定义
2021-02-18 21:39:02:794  Method:coordinatorlayout-28.0.0_aar:根据aar包中的R.txt去除R.java中的重复资源定义完成
2021-02-18 21:39:02:794  Method:support-compat-28.0.0_aar:准备生成R.java
2021-02-18 21:39:03:779  Method:support-compat-28.0.0_aar:准备根据aar包中的R.txt去除R.java中的重复资源定义
2021-02-18 21:39:03:794  Method:support-compat-28.0.0_aar:根据aar包中的R.txt去除R.java中的重复资源定义完成
2021-02-18 21:39:03:794  Method:support-media-compat-28.0.0_aar:准备生成R.java
2021-02-18 21:39:04:748  Method:support-media-compat-28.0.0_aar:准备根据aar包中的R.txt去除R.java中的重复资源定义
2021-02-18 21:39:04:763  Method:support-media-compat-28.0.0_aar:根据aar包中的R.txt去除R.java中的重复资源定义完成
2021-02-18 21:39:04:763  Method:appcompat-v7-28.0.0_aar:准备生成R.java
2021-02-18 21:39:05:724  Method:appcompat-v7-28.0.0_aar:准备根据aar包中的R.txt去除R.java中的重复资源定义
2021-02-18 21:39:05:764  Method:appcompat-v7-28.0.0_aar:根据aar包中的R.txt去除R.java中的重复资源定义完成
2021-02-18 21:39:05:764  Method:recyclerview-v7-28.0.0_aar:准备生成R.java
2021-02-18 21:39:06:721  Method:recyclerview-v7-28.0.0_aar:准备根据aar包中的R.txt去除R.java中的重复资源定义
2021-02-18 21:39:06:737  Method:recyclerview-v7-28.0.0_aar:根据aar包中的R.txt去除R.java中的重复资源定义完成
2021-02-18 21:39:06:737  Method:qrcodecore:准备生成R.java
2021-02-18 21:39:07:675  Method:qrcodecore:准备根据aar包中的R.txt去除R.java中的重复资源定义
2021-02-18 21:39:07:753  Method:qrcodecore:根据aar包中的R.txt去除R.java中的重复资源定义完成
2021-02-18 21:39:07:753  Method:zbar:准备生成R.java
2021-02-18 21:39:08:762  Method:zbar:准备根据aar包中的R.txt去除R.java中的重复资源定义
2021-02-18 21:39:09:592  Method:zbar:根据aar包中的R.txt去除R.java中的重复资源定义完成
2021-02-18 21:39:09:592  Method:mediaselector-release_aar:准备生成R.java
2021-02-18 21:39:10:669  Method:mediaselector-release_aar:准备根据aar包中的R.txt去除R.java中的重复资源定义
2021-02-18 21:39:23:966  Method:mediaselector-release_aar:根据aar包中的R.txt去除R.java中的重复资源定义完成
2021-02-18 21:39:29:677  Method:工程文件中已经添加过该JarOrangeSDK_JarGen\TestDVMediaSelector\R_JAVA_TestDVMediaSelector.jar
2021-02-18 21:39:29:677  Method:生成R.jar:任务结束
2021-02-18 21:41:25:183  Method:C:\OrangeFreeSDK\OrangeSDKSmartDeployment\Win32\Debug\OrangeSDKHelper.exe 
2021-02-18 21:41:25:292  Method:生成R.jar:res目录中文件未修改,不需要重新生成!
2021-02-18 21:43:14:473  Method:C:\OrangeFreeSDK\OrangeSDKSmartDeployment\Win32\Debug\OrangeSDKHelper.exe 
2021-02-18 21:43:14:567  Method:生成R.jar:res目录中文件未修改,不需要重新生成!
